datum_id,class_id,class_name,filename,file_id,clip_id,event_id,platform_id,cartridge_id,mic_id,channel_orientation,is_phone,day,duration_secs,split
0,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-0.wav,yyjjHTJQoHkP,0,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,train
1,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-1.wav,yyjjHTJQoHkP,1,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,train
2,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-2.wav,yyjjHTJQoHkP,2,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,train
3,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-3.wav,yyjjHTJQoHkP,3,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,test
4,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-4.wav,yyjjHTJQoHkP,4,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,train
5,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-5.wav,yyjjHTJQoHkP,5,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,train
6,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-6.wav,yyjjHTJQoHkP,6,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,train
7,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-7.wav,yyjjHTJQoHkP,7,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,train
8,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-8.wav,yyjjHTJQoHkP,8,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,train
9,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-9.wav,yyjjHTJQoHkP,9,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,val
10,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-10.wav,yyjjHTJQoHkP,10,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,train
11,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-11.wav,yyjjHTJQoHkP,11,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,train
12,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-12.wav,yyjjHTJQoHkP,12,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,train
13,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-13.wav,yyjjHTJQoHkP,13,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,test
14,7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-14.wav,yyjjHTJQoHkP,14,oh_farm,benelli_m4,federal_tg_12g_8s,DAVE,,0,1,1,train
15,7,12 Ga,7-oh_farm-benelli_m4-ERIN-oVENZmutCtcT-0.wav,oVENZmutCtcT,0,oh_farm,benelli_m4,federal_tg_12g_8s,ERIN,,0,1,1,train
16,7,12 Ga,7-oh_farm-benelli_m4-ERIN-oVENZmutCtcT-1.wav,oVENZmutCtcT,1,oh_farm,benelli_m4,federal_tg_12g_8s,ERIN,,0,1,1,train
17,7,12 Ga,7-oh_farm-benelli_m4-ERIN-oVENZmutCtcT-2.wav,oVENZmutCtcT,2,oh_farm,benelli_m4,federal_tg_12g_8s,ERIN,,0,1,1,train
18,7,12 Ga,7-oh_farm-benelli_m4-ERIN-oVENZmutCtcT-3.wav,oVENZmutCtcT,3,oh_farm,benelli_m4,federal_tg_12g_8s,ERIN,,0,1,1,train
19,7,12 Ga,7-oh_farm-benelli_m4-ERIN-oVENZmutCtcT-4.wav,oVENZmutCtcT,4,oh_farm,benelli_m4,federal_tg_12g_8s,ERIN,,0,1,1,val
20,7,12 Ga,7-oh_farm-benelli_m4-ERIN-oVENZmutCtcT-5.wav,oVENZmutCtcT,5,oh_farm,benelli_m4,federal_tg_12g_8s,ERIN,,0,1,1,train
21,7,12 Ga,7-oh_farm-benelli_m4-ERIN-oVENZmutCtcT-6.wav,oVENZmutCtcT,6,oh_farm,benelli_m4,federal_tg_12g_8s,ERIN,,0,1,1,train
