platform_id,manufacturer,model,form_factor,caliber,barrel_length_in,notes
7mm_Mauser,,,rifle,7x57mm Mauser,,custom platform
aero_upper,Aero Precision,AR-15,rifle,5.56x45mm,18,
benelli_m4,Benelli,M4,shotgun,12 Ga,18.5,
bergara_22LR_custom,Bergara,,rifle,.22 LR,16,custom platform
colt_m1911_a1cs,Colt,M1911 A1-CS,pistol,.45 ACP,3.5,
custom_ak_47,,AK-47,rifle,7.62x39mm,16,
custom_ar15_300BLK_rb,,AR-15,rifle,.300 AAC Blackout,7.5,
custom_ar15_300BLK_zn,,AR-15,rifle,.300 AAC Blackout,16,
czusa_457,CZ-USA,457,rifle,.22 LR,,
glock_m17,Glock,17,pistol,9x19mm,4.49,
hk_45,Heckler & Koch,HK45,pistol,.45 ACP,4.46,
hk_MR556,Heckler & Koch,MR556,pistol,5.56x45mm,11.5,
hk_P2000,Heckler & Koch,P2000,pistol,9x19mm,3.66,
hk_P30L,Heckler & Koch,P30L,pistol,9x19mm,4.45,
keltec_ks7,Keltec,KS7,shotgun,12 Ga,18.5,
lmt_ar10,LMT Defense,AR-10 MLKMWS,rifle,7.62x51mm,16,
marlin_1895,Marlin,Model 1895,rifle,.45-70,,
marlin_gfm60,Marlin,Glenfield Model 60,rifle,.22 LR,19,
mcmillan_g30,McMillan,G30,rifle,28 Nosler,27,carbon fiber barrel
nef_pardner_20ga,New England Firearms,Pardner,shotgun,20 Ga,22,
norinco_sks,Norinco,SKS,rifle,7.62x39mm,20.5,
radical_ar15_upper,Radical Firearms,AR-15 Upper,rifle,.223 Remington,14,
remington_870_12ga,Remington,Model 870 Express Super Magnum,shotgun,12 Ga,,
ruger_lcp_380ACP,Ruger,LCP,pistol,.380 ACP,2.75,
savage_223,Savage Arms,,rifle,.223 Remington,,
savage_mh110,Savage Arms,Magpul Hunter 110,rifle,6.5 Creedmoor,22,
savage_mk2,Savage Arms,MK2,rifle,.22 LR,,
sig_p226,Sig Sauer,P226 Legion,pistol,9x19mm,4.4,
sig_P320,Sig Sauer,P320,pistol,9x19mm,,
sig_p365,Sig Sauer,P365-XMACRO,pistol,9x19mm,3.7,
sig_p365_xl,Sig Sauer,P365-XL,pistol,9x19mm,5.6,
sig_p365_micro_compact,Sig Sauer,P365 Micro Compact,pistol,9x19mm,3.1,
spike_m4_556,Spike's Tactical,5.56 M4 LE 16″,rifle,5.56x45mm,16,
springfield_87A,Springfield,Model 87A,rifle,.22 LR,24,
springfieldd_xd,Springfield,XD,pistol,.40 S&W,,
stevens_770,Stevens,Model 770,shotgun,16 Ga,26.5,
steyr_C9A2,Steyr,C9A2,pistol,9x19mm,3.6,
sw_bodyguard,Smith & Wesson,Bodyguard,pistol,.380 ACP,2.75,
sw_mp_fpc_compliant,Smith & Wesson,M&P FPC Compliant,carbine,9x19mm,16.25,
sw_mp15,Smith & Wesson,M&P15,rifle,5.56x45mm,16,
sw_mp22,Smith & Wesson,M&P 22,pistol,.22 LR,,
sw_victory,Smith & Wesson,Victory Series,pistol,.22 LR,5.5,
tauros_66,Taurus USA,Taurus 66,revolver,.38 Special,6,
tauros_856,Taurus USA,Taurus 856,revolver,.38 Special,3,
walther_ppk,Walther,PPK/S,pistol,.380 ACP,3.3,
winchester_1400,Winchester,Model 1400,shotgun,12 Ga,28,
